Customer ID,total_spent,average_spent,first_purchase,last_purchase,purchase_count,customer_lifetime,purchase_frequency,avg_order_value,cltv
14096.0,41376.33,8.068707098283932,2011-08-30 10:49:00,2011-12-05 17:17:00,5128,97,52.865979381443296,8.068707098283932,41376.33
15098.0,40278.899999999994,8055.779999999999,2011-06-10 15:22:00,2011-06-10 15:39:00,5,1,5.0,8055.779999999999,40278.899999999994
14911.0,31025.29,5.2603068836893865,2010-12-01 14:05:00,2011-12-08 15:54:00,5898,372,15.85483870967742,5.2603068836893865,31025.29
12744.0,25108.89,109.64580786026201,2011-01-25 13:26:00,2011-10-19 11:18:00,229,266,0.8609022556390977,109.64580786026201,25108.89
16029.0,24101.56,89.26503703703705,2010-12-01 09:57:00,2011-11-01 10:27:00,270,335,0.8059701492537313,89.26503703703705,24101.56
17841.0,19956.37,2.554578853046595,2010-12-01 14:30:00,2011-12-08 12:07:00,7812,371,21.056603773584907,2.554578853046595,19956.37
12748.0,14698.31,3.2963242879569408,2010-12-01 12:48:00,2011-12-09 12:20:00,4459,372,11.986559139784946,3.2963242879569408,14698.31
12536.0,13255.220000000001,48.55391941391942,2011-10-11 14:52:00,2011-12-02 12:43:00,273,51,5.352941176470588,48.55391941391942,13255.22
12757.0,8012.79,21.65618918918919,2011-05-12 19:01:00,2011-11-24 12:30:00,370,195,1.8974358974358974,21.65618918918919,8012.79
15502.0,7836.84,31.09857142857143,2010-12-05 15:40:00,2011-11-24 12:48:00,252,353,0.7138810198300283,31.09857142857143,7836.84
14606.0,7778.46,2.819304095686843,2010-12-01 16:57:00,2011-12-08 19:28:00,2759,372,7.416666666666667,2.819304095686843,7778.46
14156.0,6535.34,4.618614840989399,2010-12-02 17:08:00,2011-11-30 10:54:00,1415,362,3.908839779005525,4.618614840989399,6535.339999999999
15311.0,6245.1,2.520217917675545,2010-12-01 09:41:00,2011-12-09 12:00:00,2478,373,6.64343163538874,2.520217917675545,6245.100000000001
14527.0,5994.95,5.935594059405941,2010-12-01 09:41:00,2011-12-07 12:19:00,1010,371,2.7223719676549867,5.935594059405941,5994.95
14646.0,5400.21,2.5900287769784174,2010-12-20 10:09:00,2011-12-08 12:12:00,2085,353,5.906515580736544,2.5900287769784174,5400.21
18102.0,5159.7300000000005,11.916235565819862,2010-12-07 16:42:00,2011-12-09 11:50:00,433,366,1.1830601092896176,11.916235565819862,5159.730000000001
13089.0,5155.75,2.782379924446843,2010-12-05 10:27:00,2011-12-07 09:02:00,1853,366,5.062841530054645,2.782379924446843,5155.75
15039.0,4754.62,3.20608226567768,2010-12-06 11:26:00,2011-11-30 11:31:00,1483,359,4.13091922005571,3.20608226567768,4754.619999999999
17448.0,4287.63,4287.63,2011-07-18 12:26:00,2011-07-18 12:26:00,1,1,1.0,4287.63,4287.63
17940.0,3994.71,181.5777272727273,2011-02-10 09:29:00,2011-10-21 13:27:00,22,253,0.08695652173913043,181.5777272727273,3994.71
16033.0,3816.4,3.3389326334208227,2010-12-05 10:36:00,2011-12-04 12:44:00,1143,364,3.14010989010989,3.3389326334208227,3816.4
13263.0,3746.93,2.247708458308338,2011-01-18 16:31:00,2011-12-08 13:59:00,1667,323,5.1609907120743035,2.247708458308338,3746.93
15581.0,3606.0,24.364864864864863,2010-12-08 14:38:00,2011-08-11 09:38:00,148,245,0.6040816326530613,24.364864864864863,3606.0
14088.0,3376.44,5.72277966101695,2011-01-21 13:07:00,2011-11-29 16:16:00,590,312,1.891025641025641,5.72277966101695,3376.44
17450.0,3312.09,9.463114285714287,2010-12-07 09:23:00,2011-12-01 13:29:00,350,359,0.9749303621169917,9.463114285714287,3312.0900000000006
18118.0,3265.74,2.5755047318611988,2010-12-05 12:13:00,2011-11-29 11:32:00,1268,358,3.541899441340782,2.5755047318611988,3265.74
