,Customer ID
0,12394.0
1,12403.0
2,12420.0
3,12430.0
4,12445.0
5,12448.0
6,12452.0
7,12491.0
8,12492.0
9,12498.0
10,12504.0
11,12519.0
12,12522.0
13,12531.0
14,12532.0
15,12538.0
16,12544.0
17,12552.0
18,12581.0
19,12586.0
20,12588.0
21,12596.0
22,12602.0
23,12603.0
24,12612.0
25,12618.0
26,12659.0
27,12702.0
28,12703.0
29,12718.0
30,12740.0
31,12789.0
32,12795.0
33,12808.0
34,12812.0
35,12824.0
36,12832.0
37,12863.0
38,12879.0
39,12895.0
40,12908.0
41,12920.0
42,12923.0
43,12938.0
44,12981.0
45,12984.0
46,12990.0
47,12993.0
48,13006.0
49,13029.0
50,13049.0
51,13058.0
52,13091.0
53,13092.0
54,13095.0
55,13103.0
56,13142.0
57,13145.0
58,13146.0
59,13160.0
60,13169.0
61,13177.0
62,13182.0
63,13189.0
64,13193.0
65,13207.0
66,13245.0
67,13247.0
68,13256.0
69,13260.0
70,13272.0
71,13277.0
72,13279.0
73,13283.0
74,13322.0
75,13329.0
76,13332.0
77,13347.0
78,13348.0
79,13351.0
80,13359.0
81,13364.0
82,13366.0
83,13403.0
84,13416.0
85,13419.0
86,13427.0
87,13449.0
88,13460.0
89,13461.0
90,13473.0
91,13483.0
92,13502.0
93,13503.0
94,13504.0
95,13519.0
96,13522.0
97,13524.0
98,13525.0
99,13538.0
100,13573.0
101,13579.0
102,13587.0
103,13589.0
104,13592.0
105,13594.0
106,13602.0
107,13603.0
108,13638.0
109,13643.0
110,13651.0
111,13666.0
112,13669.0
113,13689.0
114,13690.0
115,13697.0
116,13710.0
117,13721.0
118,13727.0
119,13739.0
120,13750.0
121,13759.0
122,13763.0
123,13791.0
124,13792.0
125,13801.0
126,13805.0
127,13806.0
128,13817.0
129,13828.0
130,13832.0
131,13845.0
132,13858.0
133,13876.0
134,13886.0
135,13892.0
136,13897.0
137,13899.0
138,13904.0
139,13917.0
140,13923.0
141,13926.0
142,13930.0
143,13938.0
144,13947.0
145,13960.0
146,13962.0
147,13972.0
148,13974.0
149,13978.0
150,13980.0
151,13984.0
152,13986.0
153,13992.0
154,14015.0
155,14027.0
156,14029.0
157,14039.0
158,14054.0
159,14073.0
160,14080.0
161,14089.0
162,14098.0
163,14109.0
164,14111.0
165,14139.0
166,14145.0
167,14147.0
168,14150.0
169,14164.0
170,14174.0
171,14184.0
172,14218.0
173,14273.0
174,14285.0
175,14295.0
176,14300.0
177,14317.0
