Customer ID,RFM_SCORE,Segment
12346.0,155,Cant_Lose
12347.0,511,New_Customers
12348.0,232,At_Risk
12349.0,422,Potential_Loyalists
12350.0,144,At_Risk
12352.0,322,About_to_Sleep
12353.0,155,Cant_Lose
12354.0,132,At_Risk
12355.0,154,Cant_Lose
12356.0,421,Potential_Loyalists
12357.0,311,About_to_Sleep
12358.0,542,Champions
12359.0,511,New_Customers
12360.0,311,About_to_Sleep
12361.0,155,Cant_Lose
12362.0,511,New_Customers
12363.0,243,At_Risk
12364.0,522,Potential_Loyalists
12365.0,144,At_Risk
12367.0,555,Champions
12370.0,311,About_to_Sleep
12371.0,322,About_to_Sleep
12372.0,332,Need_Attention
12373.0,154,Cant_Lose
12374.0,433,Potential_Loyalists
12375.0,544,Champions
12377.0,122,Hibernating
12378.0,211,Hibernating
12379.0,233,At_Risk
12380.0,421,Potential_Loyalists
12381.0,522,Potential_Loyalists
12383.0,122,Hibernating
12384.0,433,Potential_Loyalists
12386.0,154,Cant_Lose
12388.0,421,Potential_Loyalists
12390.0,233,At_Risk
12391.0,424,Potential_Loyalists
12393.0,222,Hibernating
12394.0,342,Loyal_Customers
12395.0,411,Promising
12397.0,311,About_to_Sleep
12398.0,322,About_to_Sleep
12399.0,222,Hibernating
12401.0,155,Cant_Lose
12402.0,155,Cant_Lose
12403.0,354,Loyal_Customers
12405.0,232,At_Risk
12406.0,421,Potential_Loyalists
12407.0,322,About_to_Sleep
12408.0,321,About_to_Sleep
12409.0,221,Hibernating
12410.0,143,At_Risk
12412.0,222,Hibernating
12413.0,333,Need_Attention
12414.0,143,At_Risk
12415.0,411,Promising
12417.0,511,New_Customers
12418.0,233,At_Risk
12420.0,343,Loyal_Customers
12421.0,433,Potential_Loyalists
12422.0,233,At_Risk
12423.0,512,New_Customers
12424.0,232,At_Risk
12425.0,233,At_Risk
12426.0,133,At_Risk
12427.0,533,Potential_Loyalists
12428.0,411,Promising
12429.0,521,Potential_Loyalists
12430.0,354,Loyal_Customers
12431.0,311,About_to_Sleep
12432.0,321,About_to_Sleep
12433.0,511,New_Customers
12434.0,233,At_Risk
12435.0,231,At_Risk
12436.0,243,At_Risk
12437.0,511,New_Customers
12438.0,421,Potential_Loyalists
12441.0,155,Cant_Lose
12442.0,555,Champions
12444.0,411,Promising
12445.0,455,Loyal_Customers
12446.0,332,Need_Attention
12447.0,143,At_Risk
12448.0,344,Loyal_Customers
12449.0,411,Promising
12450.0,255,Cant_Lose
12451.0,511,New_Customers
12452.0,444,Loyal_Customers
12453.0,233,At_Risk
12454.0,335,Need_Attention
12455.0,221,Hibernating
12456.0,311,About_to_Sleep
12457.0,322,About_to_Sleep
12458.0,332,Need_Attention
12461.0,233,At_Risk
12462.0,522,Potential_Loyalists
12463.0,322,About_to_Sleep
12464.0,542,Champions
12465.0,533,Potential_Loyalists
12468.0,233,At_Risk
12471.0,511,New_Customers
12472.0,411,Promising
12473.0,411,Promising
